Part Value                Device                                  Package
C1   1n/50V               C_0402                                  0402
C2   22p                  C_0402                                  0402
C3   22p                  C_0402                                  0402
C4   1u                   C_0603                                  0603
C5   1u                   C_0603                                  0603
C6   10n                  C_0402                                  0402
C7   100n                 C_0402                                  0402
C8   10n                  C_0402                                  0402
C9   100n                 C_0402                                  0402
C10  100n                 C_0402                                  0402
C11  1n                   C_0402                                  0402
C12  2u2                  C_0805                                  0805
C13  2u2                  C_0805                                  0805
C14  4u7/16V              C_0805                                  0805
C15  4u7/16V              C_0805                                  0805
C16  100n                 C_0402                                  0402
C17  2u2                  C_0805                                  0805
C18  100n                 C_0402                                  0402
C19  1u                   C_0603                                  0603
C20  100n                 C_0402                                  0402
C21  100n                 C_0402                                  0402
C22  1u                   C_0603                                  0603
C23  10n                  C_0402                                  0402
C24  100n                 C_0402                                  0402
C25  1n/50V               C_0402                                  0402
C26  100n                 C_0402                                  0402
C27  100n                 C_0402                                  0402
C28  100n                 C_0402                                  0402
C29  100n                 C_0402                                  0402
C30  10n                  C_0402                                  0402
C31  100n                 C_0402                                  0402
C32  10n                  C_0402                                  0402
C33  1n                   C_0402                                  0402
C34  2u2                  C_0805                                  0805
C35  2u2                  C_0805                                  0805
C36  47p                  C_0402                                  0402
C37  47p                  C_0402                                  0402
C38  47p                  C_0402                                  0402
C39  47p                  C_0402                                  0402
C40  47p                  C_0402                                  0402
C41  100n                 C_0402                                  0402
C42  10n                  C_0402                                  0402
C43  47p                  C_0402                                  0402
C44  100n                 C_0402                                  0402
C45  2u2                  C_0805                                  0805
C46  1n                   C_0402                                  0402
C47  10n                  C_0402                                  0402
C48  100n                 C_0402                                  0402
C49  10n                  C_0402                                  0402
C50  220p                 C_0402                                  0402
C51  2u2                  C_0805                                  0805
C52  1u                   C_0603                                  0603
C53  1u                   C_0603                                  0603
C54  1u                   C_0603                                  0603
C55  100n                 C_0402                                  0402
C56  1u                   C_0603                                  0603
C57  220p                 C_0402                                  0402
C58  1n                   C_0402                                  0402
D1   PMEG3005EJ           DS_SOD323F                              SOD323F
D2   PESD5V0F1BLD         D_TRANSIL_BI_SOD882D                    SOD882D
D3   PRTR5V0U2X           PRTR5V0_SOT143B                         SOT143B
D4   PESD5V0F1BLD         D_TRANSIL_BI_SOD882D                    SOD882D
D6   PMEG4005EJ           DS_SOD323F                              SOD323F
IC1  MIC803-30D2VC3                                               SC70-3
IC2  STM32F427VIT6        STM32F427_LQFP100                       LQFP100_NO_CENTER_NO_TDOCU
IC5  TPS61043             TP6104X_WSON-8_3X3MM                    WSON-8_3X3MM
IC6  XC6210B332PR         XC6210B_SOT89-5                         SOT89-5
K1   DX07B024XJ1R1300     USB-C_JAE_DX07B024XJ1                   USB_C_JAE_DX07B024XJ1
K3   ATTEND_112J-TDAR-R01 KON_µSD_CARD_ATTEND_112J_TXAR_R01_SMALL ATTEND_112J-TXAR-R01_SMALL
K4   DF37NB-24DS-0.4V     DISPLEJ_154A2411CTP01                   DF37NB-24DS-0.4V
K5   SWD                  SWD                                     SWD
K6   DF37NB-10DS-0.4V     DISPLEJ_154A2411CTP01_TOUCH             DF37NB-10DS-0.4V
L1   4u7 VLS252008ET-4R7M L_2.5X2.0                               L_2.5X2.0
L2   BLM18AG601SN1D       L_0603                                  0603
L3   BLM18AG601SN1D       L_0603                                  0603
L4   BLM18AG601SN1D       L_0603                                  0603
LCD1                      LCD_DISPLEJ                             LCD
R1   22R                  R_0402                                  0402
R2   470k                 R_0402                                  0402
R3   22k                  R_0402                                  0402
R4   5k1                  R_0402                                  0402
R5   5k1                  R_0402                                  0402
R6   1M                   R_0402                                  0402
R7   1M                   R_0402                                  0402
R8   MF-FSMF020X-2        POLYSWITCH_0603                         0603
R9   330R                 R_0402                                  0402
R10  68R                  R_0402                                  0402
R11  N.C.                 R_0402                                  0402
R12  10k                  R_0402                                  0402
R13  100R                 R_0402                                  0402
R14  27R                  R_0402                                  0402
R15  1k5                  R_0402                                  0402
R16  1k5                  R_0402                                  0402
R17  470k                 R_0402                                  0402
R18  68R                  R_0402                                  0402
R19  68R                  R_0402                                  0402
R20  68R                  R_0402                                  0402
R21  68R                  R_0402                                  0402
R22  68R                  R_0402                                  0402
R23  68R                  R_0402                                  0402
R24  22k                  R_0402                                  0402
R25  0R                   R_0402                                  0402
R26  N.C.                 R_0402                                  0402
T1   DMP2045U                                                     SOT-23
T2   DMP2045U                                                     SOT-23
X1   CTS406 8MHz          X_4V_6,0X3,5                            X6,0X3,5
